EAN,Id,Title,Description,Availability,Condition,Stock,Price,Sale_Price,Shipping_price,Size,Color,Image_Link,Product_Type,Brand,Link
8806092207356,QE55LST7TCUXXC,The Terrace Smart QLED TV 4K Exterior 2021,&amp;lt;spam&amp;gt;,in stock,new,,3999.98 EUR,3999.00 EUR,0.0 EUR,55&quot;,Black,https://images.samsung.com/is/image/samsung/p6pim/pt/qe55lst7tcuxxc/gallery/pt-the-terrace-lst7t-qe55lst7tcuxxc-457942174?$ORIGIN_PNG$,Produtos | TV | PROMO ELEVEN,Samsung,https://shop.samsung.com/pt/Comom/CTV-%3A-Color-TV/The-Terrace-Smart-QLED-TV-4K-Exterior-2021/p/QE55LST7TCUXXC
8806092213074,QE65LST7TCUXXC,The Terrace Smart QLED TV 4K Exterior 2021,&amp;lt;spam&amp;gt;,in stock,new,,4999.99 EUR,4999.00 EUR,0.0 EUR,65&quot;,Black,https://images.samsung.com/is/image/samsung/p6pim/pt/qe65lst7tcuxxc/gallery/pt-the-terrace-qe65lst7tcuxxc-front-black-458201314?$ORIGIN_PNG$,Produtos | TV | PROMO ELEVEN,Samsung,https://shop.samsung.com/pt/Comom/CTV-%3A-Color-TV/The-Terrace-Smart-QLED-TV-4K-Exterior-2021/p/QE65LST7TCUXXC
8806092287938,SM-A225FZKGEUB,Galaxy A22,,in stock,new,,259.90 EUR,199.90 EUR,0.0 EUR,128 GB,Preto,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-a225fzkgeub/gallery/pt-galaxy-a22-a225-sm-a225fzkgeub-460105030?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy A Series,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-A-Series/Galaxy-A22/p/SM-A225FZKGEUB
8806092286931,SM-A225FZWGEUB,Galaxy A22,,out of stock,new,,259.90 EUR,199.90 EUR,0.0 EUR,128 GB,Branco,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-a225fzwgeub/gallery/pt-galaxy-a22-a225-sm-a225fzwgeub-460105064?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy A Series,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-A-Series/Galaxy-A22/p/SM-A225FZWGEUB
8806092218505,QE32LS03TCUXXC,32&quot; The Frame QLED 2021,&amp;lt;spam&amp;gt;,in stock,new,,549.99 EUR,499.99 EUR,0.0 EUR,32'',Preto,https://images.samsung.com/is/image/samsung/p6pim/pt/qe32ls03tcuxxc/gallery/pt-the-frame-32ls03t-qe32ls03tcuxxc-401675317?$ORIGIN_PNG$,Produtos | TV | The Frame | Produtos | TV | Lifestyle TV | The Frame,Samsung,https://shop.samsung.com/pt/Products/TV/The-Frame/32%22-The-Frame-QLED-2021/p/QE32LS03TCUXXC
8806092266544,SM-A226BLVVEUB,Galaxy A22 5G,,in stock,new,,279.90 EUR,219.90 EUR,0.0 EUR,128 GB,Lavanda,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-a226blvveub/gallery/pt-galaxy-a22-5g-a226-sm-a226blvveub-462825349?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy A Series,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-A-Series/Galaxy-A22-5G/p/SM-A226BLVVEUB
8806092266407,SM-A226BZAUEUB,Galaxy A22 5G,,in stock,new,,249.90 EUR,199.90 EUR,0.0 EUR,64 GB,Cinzento,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-a226bzaueub/gallery/pt-galaxy-a22-5g-a226-sm-a226bzaueub-462825367?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy A Series,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-A-Series/Galaxy-A22-5G/p/SM-A226BZAUEUB
8806092266339,SM-A226BZAVEUB,Galaxy A22 5G,,in stock,new,,279.90 EUR,219.90 EUR,0.0 EUR,128 GB,Cinzento,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-a226bzaveub/gallery/pt-galaxy-a22-5g-a226-sm-a226bzaveub-462825384?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy A Series,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-A-Series/Galaxy-A22-5G/p/SM-A226BZAVEUB
8806092266162,SM-A226BZWUEUB,Galaxy A22 5G,,out of stock,new,,249.90 EUR,199.90 EUR,0.0 EUR,64 GB,Branco,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-a226bzwueub/gallery/pt-galaxy-a22-5g-a226-sm-a226bzwueub-462825401?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy A Series,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-A-Series/Galaxy-A22-5G/p/SM-A226BZWUEUB
8806092561304,SM-F926BZGDEUB,Galaxy Z Fold3 5G,"Quando o Ecr&atilde; Infinity Flex de 191,9 mm se ilumina, como por magia, a c&acirc;mara frontal desaparece &mdash; n&atilde;o deixando nada para tr&aacute;s a n&atilde;o ser o que est&aacute; no ecr&atilde;. Este Ecr&atilde; Infinity Flex AMOLED 22.5:18 tem uma C&acirc;mara Sob o Ecr&atilde;, para que possa ter uma experi&ecirc;ncia verdadeiramente imersiva.",in stock,new,,1859.90 EUR,1699.90 EUR,0.0 EUR,256 GB,Phantom Green,https://images.samsung.com/is/image/samsung/p6pim/pt/2108/gallery/pt-galaxy-z-fold3-f926-5g-sm-f926bzgdeub-477355861?$ORIGIN_PNG$,Produtos | Smartphones | Galaxy Z Fold3,Samsung,https://shop.samsung.com/pt/Products/Smartphones/Galaxy-Z-Fold3//p/SM-F926BZGDEUB
